PC1,PC2
15.469,-9.03017
51.3639,-11.2153
19.5593,-8.87084
70.9211,-3.59557
70.9211,-3.59557
71.7984,-20.5433
53.4426,-8.60649
14.9312,-10.4058
80.6065,6.38128
50.0248,-1.02802
50.0248,-1.02802
14.7272,-10.0716
65.376,-18.6836
64.1656,1.99122
117.39,24.0069
41.0593,-0.428294
15.9533,-10.2085
41.0593,-0.428294
117.39,24.0069
21.8765,-6.07802
23.6539,-8.28856
15.5367,-8.87361
44.4958,-3.41887
15.5253,-8.83318
66.7496,3.45813
60.8878,-2.85432
97.3158,8.01165
12.091,-8.41393
80.3785,4.25656
97.3158,8.01165
12.091,-8.41393
13.5579,-9.57858
15.8745,-10.0979
83.6421,-5.67997
50.8262,-10.0541
50.8262,-10.0541
50.8262,-10.0541
58.4829,-7.88825
50.8262,-10.0541
29.1018,-10.0372
18.8851,-9.01496
58.3793,-4.57735
18.8851,-9.01496
16.4629,-8.88159
13.0459,-11.0577
35.8177,-13.3055
79.5009,11.3759
84.6723,-13.0824
27.5044,-6.60026
56.8936,-9.23164
49.2893,-7.21765
49.2893,-7.21765
95.5308,-0.284591
27.3261,-9.26795
24.2249,-9.62248
80.0692,5.00746
53.3966,-10.6617
24.6444,-7.44573
90.5185,8.23393
69.8616,1.24374
61.5667,-0.149021
100.938,-10.2302
69.8616,1.24374
40.537,-6.59145
22.9423,-11.3077
110.733,24.063
20.4254,-7.52357
22.9423,-11.3077
28.5277,-8.72136
24.6912,-10.1116
69.0451,-11.5658
71.8048,-5.97372
44.8491,-6.87237
86.132,13.531
173.628,-2.20342
38.8011,-7.40794
51.8441,-2.34311
38.8011,-7.40794
42.7288,-11.4035
44.238,-12.3447
44.238,-12.3447
66.5597,-6.07575
17.3142,-7.85491
16.4074,-8.31582
41.2785,-10.6752
53.1636,-10.26
71.0455,-16.0617
70.9117,5.98863
37.9401,-8.00006
37.9401,-8.00006
60.5431,-2.37665
29.9814,-12.0424
74.4666,-9.52324
30.6915,-8.70078
58.2164,-9.87702
40.9265,-7.22818
40.9265,-7.22818
24.6244,-12.861
56.2809,-4.84173
92.5484,1.07198
66.5835,-6.57023
69.6802,-3.62008
50.9874,-10.2601
53.4695,-15.7155
41.396,-8.53625
82.2589,10.0465
13.3334,-9.40736
12.6728,-7.16757
82.2589,10.0465
12.2902,-9.50192
61.25,-8.88138
61.25,-8.88138
25.9332,-7.98616
72.3444,2.70498
41.5633,-8.74957
52.8611,-7.77004
36.8145,-10.6144
10.4601,-10.3247
111.557,15.1068
111.557,15.1068
15.6654,-9.34629
66.22,-5.6233
33.012,-9.23695
15.4669,-8.6335
66.22,-5.6233
89.803,-15.3953
